ID;Name;URL;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated
65;Bermuda Rum Swizzle;http://liquor.com/recipes/bermuda-rum-swizzle/;0.5;0.33;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.04;0;0
66;The Blackthorn;http://liquor.com/recipes/the-blackthorn/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
67;Sidra House;http://liquor.com/recipes/sidra-house/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
68;English Rose;http://liquor.com/recipes/english-rose/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
69;Chocomole;http://liquor.com/recipes/chocomole/;0.5;0.5;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.04;0;0
70;Plum Toddy;http://liquor.com/recipes/plum-toddy/;0.25;1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.04
71;I Left My Heart in Jalisco;http://liquor.com/recipes/i-left-my-heart-in-jalisco/;0.5;1;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0.07;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.04
72;Romancing the Stone;http://liquor.com/recipes/romancing-the-stone/;0.5;0.5;0.5;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
73;Gin on Gin Julep;http://liquor.com/recipes/gin-on-gin-julep/;0.5;0.33;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
74;Last Resort;http://liquor.com/recipes/last-resort/;0.5;0.5;0.5;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
75;World’s Greatest Hotel National;http://liquor.com/recipes/worlds-greatest-hotel-national/;0.5;0.5;0.5;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.04;0;0
76;The Slivopolitan;http://liquor.com/recipes/the-slivopolitan/;0.5;0.5;1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
77;Colletti Royale;http://liquor.com/recipes/colletti-royale/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
78;Cunningham;http://liquor.com/recipes/cunningham/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
79;Blood Sage;http://liquor.com/recipes/blood-sage/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
80;Blood Orange Margarita;http://liquor.com/recipes/blood-orange-margarita/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
81;Cupid’s Champagne Potion;http://liquor.com/recipes/cupids-champagne-potion/;0.5;0.5;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
82;Italian Love Affair;http://liquor.com/recipes/italian-love-affair/;0.5;0.33;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
83;Malibu Mudslide;http://liquor.com/recipes/malibu-mudslide/;0.5;1;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.04;0;0;0
